,id,sen_off_peak_var,sen_peak_var,sen_mid_peak_var,sen_off_peak_fix,sen_peak_fix,sen_mid_peak_fix
0,24011ae4ebbe3035111d65fa7c15bc57,0.0,-0.0,-0.0,0.0,-0.0,-0.0
1,d29c2c54acc38ff3c0614d0a653813dd,-0.0,,,0.0,,
2,764c75f661154dac3a6c254cd082ea7d,-0.0,0.0,,0.0,,
3,bba03439a292a1e166f80264c16191cb,-0.0,,,0.0,,
4,149d57cf92fc41cf94415803a877cb4b,-76498.70801033605,-205768.89661164218,135841.69773444207,2907.51775766093,4845.86292943513,7268.794394152563
5,1aa498825382410b098937d65c4ec26d,-224655.62013107425,-429704.3519394616,inf,-1513991666.9032755,inf,inf
6,7ab4bf4878d8f7661dfc20e9b8e18011,-0.0,-0.0,,,,
7,01495c955be7ec5e7f3203406785aae0,-152463.7866940135,-409562.67217630794,399117.44966442994,7300.528617271533,12167.547695453175,18251.32154317943
8,f53a254b1115634330c12c7fdbf7958a,-0.0,,,0.0,,
9,10c1b2f97a2d2a6f10299dc213d1a370,-275803.55891831283,-915539.5348837214,509554.7501941508,inf,inf,inf
10,d5e512dbc8118a830a7b8c7f61d89992,-1785727.2139625163,751297.2531955399,inf,15539.085650257626,inf,inf
11,6ee77a019251bcc304c88167e0dfcb4c,-1457613.636363639,1679961.4791987757,inf,1001.290672626498,inf,inf
12,2c05848e1a577dd041ea6804bbf5bbf5,-677924.7434435567,-3562786.516853925,1569224.6783239895,29194.99421786403,48658.32369644252,72987.48554466246
13,21860c2ff2d5df75503b230ce629c253,-0.0,-0.0,,0.0,,
14,c5037389dd8be351d3c40f2973da2391,-0.0,-0.0,,-0.0,,
15,e4773b60d2e68aac94795782abfc006b,-877145.7785568475,inf,inf,16888.79663941945,inf,inf
16,bd14bbac3aca710ee5288fcd8511d4bb,-19861139.723414384,62301884.8167537,inf,-69414683344.18156,inf,inf
17,4e4a34a6d91ff25d0fdf68733907ad44,-0.0,-0.0,0.0,0.0,0.0,0.0
18,f2b93783adecf0d0d8d60ab547bda3de,-358625.8172029226,-963374.6556473816,938805.3691275178,17172.327266387696,28620.54544398095,42930.818165970646
19,47e976c5d7f1ee1fee6d60ca39fd0218,-0.0,,,0.0,,
20,db6ac41fb6972374f28bc6f8e43b9764,-184199.1852487132,-471129.6956402526,2393050.139275778,10546.626596838765,17577.71099473217,26366.566492097776
21,bee0c7e972180fbee50c2ea15b12965c,-433720.1365187711,-799939.222921641,3117868.020304562,22621.03813262747,37701.7302210477,56552.59533157052
22,78014630fbac3e6aa980361d25cea748,-1869678.3457782965,-38079.033258074705,inf,18309.764877939182,inf,inf
23,5789c446141a44a9b405db35682f6eb5,-0.0,-0.0,,0.0,,
24,ed5bc499fecb8eee257857fd286ebd65,-0.0,,,0.0,,
25,389bbbe70248fbeecdf9bb1bd0d1da04,-31023.799313893596,-79350.15080888406,403050.139275768,436.54097955094716,484.13235665707396,512.0436691026198
26,31615bef53242dfedeaf275214044ca1,-0.0,,,0.0,,
